대여일시,대여건수,,,,
2022.12.25," 25,623 ",,,,
2022.12.26," 52,582 ",,,,
2022.12.27," 58,890 ",,,,
2022.12.28," 54,012 ",,,,
2022.12.29," 57,393 ",,,,
2022.12.30," 56,058 ",,,,
2022.12.31," 42,347 ",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
